10.200.200.3,2024-11-12 21:09:56.487203835,2024-11-12 21:10:05.483673537,16847,0,Client:11224,94510,10937,12718,15677,Network:255,496,256,260,260,Server:51654,162502,51562,85510,88698
10.200.200.3,2024-11-12 21:10:05.484206540,2024-11-12 21:10:25.483869859,37419,0,Client:11283,126404,10972,12992,16295,Network:255,260,256,260,260,Server:51832,176026,51746,85550,88734
10.200.200.3,2024-11-12 21:10:25.484404160,2024-11-12 21:10:45.484133714,37437,4,Client:11235,121685,10963,12793,15361,Network:255,260,256,260,260,Server:51655,228886,51698,85614,88562
10.200.200.3,2024-11-12 21:10:45.484668722,2024-11-12 21:11:05.484597896,37435,1,Client:11284,117621,11005,12887,15546,Network:255,260,256,260,260,Server:51619,546050,51562,85526,88670
10.200.200.3,2024-11-12 21:11:05.485133133,2024-11-12 21:11:25.484983863,37418,3,Client:11260,134613,10969,12941,15740,Network:255,260,256,260,260,Server:51915,202458,52086,85618,88618
10.200.200.3,2024-11-12 21:11:25.485517518,2024-11-12 21:11:45.485464810,37421,1,Client:11287,94824,11014,12935,15464,Network:255,260,256,260,260,Server:51862,477298,51902,85622,88738
10.200.200.3,2024-11-12 21:11:45.485998355,2024-11-12 21:12:05.485559111,37428,0,Client:11284,84509,10994,13099,15259,Network:255,260,256,260,260,Server:52017,546814,52262,85666,88714
10.200.200.3,2024-11-12 21:12:05.486095296,2024-11-12 21:12:25.485960279,37439,0,Client:11292,99799,10993,13059,15277,Network:255,260,256,260,260,Server:52227,283266,52806,85606,88770
10.200.200.3,2024-11-12 21:12:25.486494146,2024-11-12 21:12:45.486287702,37429,1,Client:11240,110084,10956,12932,15840,Network:255,260,256,260,260,Server:52002,369530,52282,85514,88594
10.200.200.3,2024-11-12 21:12:45.486821491,2024-11-12 21:13:05.486498027,37429,0,Client:11256,122837,10966,12979,15304,Network:255,272,256,260,260,Server:51781,590030,51698,85518,88718
10.200.200.3,2024-11-12 21:13:05.487032031,2024-11-12 21:13:25.486689941,37383,0,Client:11554,117427,11150,13775,18760,Network:255,260,256,260,260,Server:52308,380362,52238,86290,89842
10.200.200.3,2024-11-12 21:13:25.487223624,2024-11-12 21:13:45.486948396,37368,3,Client:11556,97609,11172,13732,18514,Network:255,260,256,260,260,Server:52535,1187602,52602,86214,89682
10.200.200.3,2024-11-12 21:13:45.487482321,2024-11-12 21:14:05.487021873,37400,4,Client:11490,265117,11125,13592,17854,Network:255,260,256,260,260,Server:52467,308542,52730,86122,89546
10.200.200.3,2024-11-12 21:14:05.487554457,2024-11-12 21:14:25.487260187,37388,0,Client:11468,98992,11096,13620,18064,Network:255,260,256,260,260,Server:52381,544126,52450,86146,89670
10.200.200.3,2024-11-12 21:14:25.487796669,2024-11-12 21:14:45.487432991,37414,3,Client:11320,141931,10996,13067,16073,Network:255,260,256,260,260,Server:51750,194322,51778,85686,88838
10.200.200.3,2024-11-12 21:14:45.487966460,2024-11-12 21:15:05.487952338,37421,2,Client:11320,116904,11025,13083,15937,Network:255,260,256,260,260,Server:52169,1028462,52286,85718,88950
10.200.200.3,2024-11-12 21:15:05.488485892,2024-11-12 21:15:25.488013427,37386,1,Client:11491,114690,11130,13542,17754,Network:255,260,256,260,260,Server:52391,1240974,52542,85846,89174
10.200.200.3,2024-11-12 21:15:25.488547333,2024-11-12 21:15:45.488487456,37451,2,Client:11248,116293,10972,12776,15099,Network:255,260,256,260,260,Server:51625,767926,51634,85478,88514
